"","x"
"321","BRCA2"
"322","BRCA2"
"323","BRCA2"
"324","BRCA2"
"325","BRCA2"
"326","BRCA2"
"327","BRCA2"
"328","BRCA2"
"329","BRCA2"
"330","BRCA2"
"331","BRCA2"
"332","BRCA2"
"333","BRCA2"
"334","BRCA2"
"335","BRCA2"
"336","BRCA2"
"337","BRCA2"
"338","BRCA2"
"339","BRCA2"
"340","BRCA2"
"341","BRCA2"
"342","BRCA2"
"343","BRCA2"
"344","BRCA2"
"345","BRCA2"
"346","BRCA2"
"347","BRCA2"
"348","BRCA2"
"349","BRCA2"
"350","BRCA2"
"351","BRCA2"
"352","BRCA2"
"353","BRCA2"
"354","BRCA2"
"355","BRCA2"
"356","BRCA2"
"357","BRCA2"
"358","NA"
"359","BRCA2"
"360","BRCA2"
"361","BRCA2"
"362","BRCA2"
"363","BRCA2"
"364","BRCA2"
"365","BRCA2"
"366","BRCA2"
"367","BRCA2"
"368","BRCA2"
"369","BRCA2"
"370","BRCA2"
"371","BRCA2"
"372","BRCA2"
"373","BRCA2"
"374","BRCA2"
"375","BRCA2"
"376","BRCA2"
"377","BRCA2"
"378","BRCA2"
"379","BRCA2"
"380","BRCA2"
"381","BRCA2"
"382","BRCA2"
"383","BRCA2"
"384","BRCA2"
"385","BRCA2"
"386","BRCA2"
"387","BRCA2"
"388","BRCA2"
"389","BRCA2"
"390","BRCA2"
"391","BRCA2"
"392","BRCA2"
"393","BRCA2"
"394","BRCA2"
"395","BRCA2"
"396","BRCA2"
"397","BRCA2"
"398","BRCA2"
"399","BRCA2"
"400","BRCA2"
"401","BRCA2"
"402","BRCA2"
"403","BRCA2"
"404","BRCA2"
"405","BRCA2"
"406","BRCA2"
"407","BRCA2"
"408","BRCA2"
"409","BRCA2"
"410","BRCA2"
"411","BRCA2"
"412","BRCA2"
"413","BRCA2"
"414","BRCA2"
"415","BRCA2"
"416","BRCA2"
"417","BRCA2"
"418","BRCA2"
"419","BRCA2"
"420","BRCA2"
"421","BRCA2"
"422","BRCA2"
"423","BRCA2"
"424","BRCA2"
"425","BRCA2"
"426","BRCA2"
"427","BRCA2"
"428","BRCA2"
"429","BRCA2"
"430","BRCA2"
"431","BRCA2"
"432","BRCA2"
"433","BRCA2"
"434","BRCA2"
"435","BRCA2"
"436","BRCA2"
"437","BRCA2"
"438","BRCA2"
"439","BRCA2"
"440","BRCA2"
"441","BRCA2"
"442","BRCA2"
"443","BRCA2"
"444","BRCA2"
"445","BRCA2"
"446","BRCA2"
"447","BRCA2"
"448","BRCA2"
"449","BRCA2"
"450","BRCA2"
"451","BRCA2"
"452","BRCA2"
"453","BRCA2"
"454","BRCA2"
